,signal_close_buy,signal_close_sell
2017-08-01,1.0,-0.0
2017-08-02,1.0,-0.0
2017-08-03,1.0,-0.0
2017-08-04,1.0,-0.0
2017-08-07,0.0,-1.0
2017-08-08,0.0,-1.0
2017-08-09,0.0,-1.0
2017-08-10,0.0,-1.0
2017-08-11,0.0,-1.0
2017-08-14,0.0,-1.0
2017-08-15,0.0,-0.8733296394348145
2017-08-16,0.0,-1.0
2017-08-17,0.0,-0.0
2017-08-18,0.0,-1.0
2017-08-21,0.0,-1.0
2017-08-22,1.0,-0.8222041130065918
2017-08-23,1.0,-1.0
2017-08-24,0.0,-1.0
2017-08-25,1.0,-0.0
2017-08-28,1.0,-0.0
2017-08-29,0.0,-0.9176452159881592
2017-08-30,1.0,-0.0
2017-08-31,1.0,-0.0
2017-09-01,1.0,-0.0
2017-09-04,1.0,-0.0
2017-09-05,1.0,-0.0
2017-09-06,0.0,-0.0
2017-09-07,1.0,-0.021936416625976562
2017-09-08,0.0,-1.0
2017-09-11,0.0,-1.0
2017-09-12,1.0,-0.0
2017-09-13,0.0,-1.0
2017-09-14,0.0,-1.0
2017-09-15,0.0,-1.0
